Label,Actual Number of Videos,Predicted Number of Videos
sa zee,1,1
serial,64,44
today,41,40
upcoming,13,11
wo sa,1,1
zee sa,1,1
real estate,10,10
residential,8,8
sale,10,8
virtual tour,8,8
21,2,2
46,3,3
girl,16,10
nhk100,2,2
black mob violence,6,6
black white crime,6,6
colin,7,6
dont make black angry,6,6
white girl bleed lot,6,6
2017,85,66
colors,42,25
episode,46,42
full episode,77,48
latest,45,43
latest news,11,4
location,22,21
news,148,59
preview,39,44
romantic,24,18
se,3,3
se 4th may 2017,2,3
se colors,4,3
se today episode,2,2
today,41,40
video,34,9
baby,14,9
cream,1,1
dance,9,4
ice,1,1
learning,15,8
2017,85,66
new serial,5,4
spicer,6,2
trump,42,24
sex,4,2
action game,2,2
android game,3,2
child game,2,2
computer game,2,2
game,23,14
girl game,2,2
latest game,2,2
mobile game,2,2
racing best game,2,2
sky game,2,2
sport game,2,2
top game,2,2
trump,42,24
2017,85,66
brown dwarf star,1,1
channel,7,4
climate chaos,2,2
evidence,0,1
news,148,59
orbit,1,2
planet,1,2
planet x,4,2
planet x 2016,3,2
planet x 2017,2,2
planet x apocalypse,0,1
planet x news,3,2
planet x update,1,2
update,3,4
wwwnibiruplanetx2016com,0,1
night,1,1
top 10,3,3
original composition,4,4
2017,85,66
2nd may 2017,19,10
colors,42,25
episode,46,42
full episode,77,48
latest,45,43
location,22,21
new,47,18
preview,39,44
serial,64,44
today,41,40
today episode,32,26
mein,0,1
mein 5 may 2017,0,1
song,28,2
veer,0,1
challenge,12,2
brown,6,1
cartoon,38,16
comedy,64,23
dog,2,1
family guy,1,1
fox,4,1
griffin,5,1
interesting,6,2
joe,6,2
mike henry,1,1
mila,1,1
parody,2,1
peter griffin,1,1
quagmire,1,1
quahog,1,1
seth,2,3
seth green,1,1
instrumental,5,4
ambassador,2,2
crime,6,2
diplomat,2,2
diplomate,1,2
environment,3,2
esclavage,1,2
movement,2,2
national,11,2
national anthem,2,2
parliament,2,2
patriot,2,2
patriotic,2,2
politics,18,4
premier minister,1,2
president,6,2
prime minister,2,2
senator,2,2
slavery,2,2
traffic,3,2
un,3,2
united,6,2
news,148,59
tutorial,23,12
2017,85,66
4th may 2017,26,25
episode,46,42
full episode,77,48
kiss,8,8
latest,45,43
latest episode,12,10
location,22,21
love,39,21
marriage,7,7
news,148,59
preview,39,44
romantic,24,18
serial,64,44
today,41,40
today episode,32,26
wedding,9,8
zee,15,9
news,148,59
1980s,1,1
1990s,1,1
documentary,6,1
gaming,11,3
great big story,1,1
move,10,3
colors,42,25
learn,22,16
learn colors,8,9
learning,15,8
nursery,10,5
paw patrol,8,7
toy,12,7
2017,85,66
4th may 2017,26,25
arjun,4,3
episode,46,42
fat,20,14
full episode,77,48
latest,45,43
location,22,21
look,4,2
may,8,4
maya,3,3
new,47,18
news,148,59
place,12,7
republic,7,2
romantic,24,18
scene,5,3
serial,64,44
today,41,40
today episode,32,26
twist,4,3
upcoming,13,11
4,22,14
funny,61,32
overwatch edition,2,2
attack,2,1
attack character image song,1,1
ending anime,1,1
epic anime,1,1
matter,1,1
opening anime,1,1
original,1,1
colors,42,25
learn,22,16
learn colors,8,9
learning,15,8
learning colors,4,2
surprise,10,5
science,12,6
2017,85,66
5th may 2017,21,4
episode,46,42
full episode,77,48
latest,45,43
animation,11,7
bean,13,7
bean funny,7,7
ben,8,6
cartoon,38,16
cartoon network,6,6
comedy,64,23
entertainment television,6,6
funny,61,32
grey matter,6,6
preview,39,44
sab,6,6
serial,64,44
set,9,8
star plus,26,22
sunny hot,6,6
sunny hot scene,6,6
2017,85,66
4th may 2017,26,25
episode,46,42
full episode,77,48
gayatri,3,3
joshi,3,3
khan,4,3
latest,45,43
news,148,59
preview,39,44
serial,64,44
singh,6,4
star plus,26,22
today,41,40
today episode,32,26
upcoming,13,11
video,34,9
ye,3,3
trump,42,24
adventure,7,5
baby,14,9
bus,2,2
cartoon,38,16
chuck e cheese,2,2
comedy,64,23
